arm,ab_var,ucb_var,eps_var,ucb_inf_var,mix_prop_var
4.0,4.541219339536412,3.998233081014596,3.1054536909044175,0.23972662410147208,1.4941484415813726
5.0,1.9022850988081643,0.8045190856271978,,2.8756712675332166,0.003473515420138998
6.0,0.03292997790712589,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,2.4063315666573026,0.0,,2.339425326713563,1.8339665278317474
8.0,3.404728417965137,4.355837070950945,3.902403104665009,1.994314464714576,2.1726455713095136
9.0,0.09239813701699001,0.4271946630566836,,1.9864821765572027,1.920728875881846
0.0,0.5630597460827965,0.0,,0.9360949108126345,0.002332755314635204
1.0,0.022894527609204397,0.14712835514343556,,0.16811714252517188,0.09475327890848978
2.0,0.7695127184166443,0.0,0.7196973678129199,0.03539224921488672,2.1463455739949606
3.0,1.9182104621021265,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,4.541219339536412,3.998233081014596,3.130032190913115,0.23972662410147208,1.4941484415813726
5.0,1.9022850988081643,0.8045190856271978,,2.8756712675332166,0.003473515420138998
6.0,0.03292997790712589,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,2.4063315666573026,0.0,,2.339425326713563,1.8339665278317474
8.0,3.404728417965137,4.355837070950945,3.902403104665009,1.994314464714576,2.1726455713095136
9.0,0.09239813701699001,0.4271946630566836,,1.9864821765572027,1.920728875881846
0.0,0.5630597460827965,0.0,,0.9360949108126345,0.002332755314635204
1.0,0.022894527609204397,0.14290567980502775,,0.1516203941692657,0.09475327890848978
2.0,1.4121999654286637,0.0,0.7196973678129199,0.03539224921488672,2.1463455739949606
3.0,1.9182104621021265,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,4.541219339536412,3.998233081014596,3.1310701794292477,0.23972662410147208,1.4941484415813726
5.0,1.9022850988081643,0.8045190856271978,,2.8756712675332166,0.003473515420138998
6.0,0.03292997790712589,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,2.4063315666573026,0.0,,2.339425326713563,1.8339665278317474
8.0,3.404728417965137,4.355837070950945,3.902403104665009,1.994314464714576,1.6841745543913273
9.0,0.09239813701699001,0.4271946630566836,,1.9864821765572027,1.920728875881846
0.0,0.5630597460827965,0.0,,0.9360949108126345,0.002332755314635204
1.0,0.022894527609204397,0.17732695104162596,,0.1516203941692657,0.09475327890848978
2.0,1.4121999654286637,0.0,0.7196973678129199,0.03539224921488672,2.321811257175524
3.0,5.824943378062085,0.0,0.0,3.20581379695779,0.5498815840291554
4.0,4.541219339536412,3.998233081014596,3.146471265420887,0.5315324099588368,1.4941484415813726
5.0,1.9022850988081643,0.8045190856271978,,2.8756712675332166,0.003473515420138998
6.0,0.03292997790712589,0.0,0.0,0.0379966861927824,0.05144046184993632
7.0,2.4063315666573026,0.0,,2.339425326713563,1.8339665278317474
8.0,3.404728417965137,4.355837070950945,3.902403104665009,1.994314464714576,1.6841745543913273
9.0,0.09239813701699001,0.4271946630566836,,1.9864821765572027,1.920728875881846
0.0,0.5630597460827965,0.0,,0.9360949108126345,0.002332755314635204
1.0,0.022894527609204397,0.17732695104162596,,0.1516203941692657,0.13244463683086413
2.0,1.4121999654286637,1.3309758055385121,0.7196973678129199,0.03539224921488672,2.321811257175524
