,chosen_arm,optimal,reward,cost
830,0,1,0,0
831,0,0,-1,1
832,1,0,-1,1
833,1,0,-1,1
834,0,0,-1,1
835,0,0,-1,1
836,1,0,-1,1
837,2,0,-1,1
838,1,1,-1,1
839,1,1,-1,1
840,0,0,-1,1
841,1,0,0,0
842,2,1,-1,1
843,0,0,-1,1
844,0,0,-1,1
845,0,0,-1,1
846,2,0,0,0
847,0,0,-1,1
848,2,1,-1,1
849,1,0,0,0
850,1,0,-1,1
851,1,0,-1,1
852,0,0,-1,1
853,1,0,-1,1
854,0,0,-1,1
855,0,1,0,0
856,0,0,-1,1
857,1,1,-1,1
858,1,0,-1,1
859,0,0,-1,1
860,1,0,-1,1
861,1,0,-1,1
862,0,0,-1,1
863,2,0,-1,1
864,1,1,-1,1
865,0,0,-1,1
866,0,0,-1,1
867,0,0,-1,1
868,0,1,0,0
869,1,0,-1,1
870,0,0,-1,1
871,0,0,-1,1
872,0,0,-1,1
873,0,0,-1,1
874,0,1,0,0
875,0,0,-1,1
876,0,0,-1,1
877,0,0,-1,1
878,2,1,-1,1
879,0,1,0,0
880,0,0,-1,1
881,1,0,-1,1
882,0,0,-1,1
883,2,1,-1,1
884,0,0,-1,1
885,1,0,-1,1
886,0,0,-1,1
887,0,0,-1,1
888,1,1,-1,1
889,0,0,-1,1
890,1,0,-1,1
891,1,0,0,0
892,1,0,-1,1
893,2,0,-1,1
894,1,0,-1,1
895,1,0,-1,1
896,2,1,-1,1
897,2,1,-1,1
898,0,0,-1,1
899,0,0,-1,1
900,1,0,-1,1
901,0,0,-1,1
902,1,1,-1,1
903,0,1,0,0
904,1,1,-1,1
905,2,1,-1,1
906,0,1,0,0
907,0,1,0,0
908,0,0,388,52
909,0,0,-1,1
910,0,1,0,0
911,2,1,-1,1
912,0,1,0,0
913,0,0,-1,1
914,1,1,-1,1
915,2,1,-1,1
916,1,1,-1,1
917,2,0,-1,1
918,0,0,-1,1
919,1,0,-1,1
920,1,0,-1,1
921,0,0,-1,1
922,1,0,-1,1
923,0,0,-1,1
924,0,0,-1,1
925,0,0,-1,1
926,0,0,-1,1
927,1,0,-1,1
928,0,0,-1,1
929,0,1,0,0
930,1,1,-1,1
931,0,0,-1,1
932,0,0,-1,1
933,0,0,-1,1
934,0,1,0,0
935,0,1,0,0
936,1,1,-1,1
937,1,0,-1,1
938,1,0,-1,1
939,0,0,-1,1
940,1,0,-1,1
941,0,1,0,0
942,0,0,-1,1
943,1,0,-1,1
944,1,0,-1,1
945,0,0,-1,1
946,1,0,-1,1
947,1,0,0,0
948,1,1,-1,1
949,0,0,-1,1
950,0,1,0,0
951,0,0,-1,1
952,0,0,-1,1
953,2,0,-1,1
